2023-10-27 04:44:25,238 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:44:25,239 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:44:25,239 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:54:25,366 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:54:25,367 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:54:25,368 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:04:25,493 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:04:25,494 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:04:25,495 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:14:25,569 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:14:25,570 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:14:25,571 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:14:25,573 | DEBUG   | mqtt_device.py line=66 | (0, 14) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 05:14:25,574 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:24:25,692 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:24:25,693 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:24:25,694 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:34:25,822 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:34:25,823 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:34:25,824 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:44:25,953 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:44:25,954 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:44:25,955 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:54:26,029 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:54:26,030 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 05:54:26,030 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:04:26,073 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:04:26,074 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:04:26,075 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:14:26,142 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:14:26,143 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:14:26,143 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:14:26,145 | DEBUG   | mqtt_device.py line=66 | (0, 15) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 06:14:26,146 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:24:26,271 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 06:24:26,272 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
